City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,hermanus,17,ZA,1595126828,90,-34.42,19.23,53.01,1.99
1,yar-sale,100,RU,1595126588,91,66.83,70.83,49.01,12.64
2,evansville,1,US,1595126613,70,37.97,-87.56,84.2,6.93
3,fort saint james,74,CA,1595127017,81,54.43,-124.25,60.55,4.72
4,ushuaia,75,AR,1595126619,94,-54.8,-68.3,32.0,9.17
5,ust-kan,6,RU,1595127017,68,50.93,84.76,71.69,2.42
6,port alfred,0,ZA,1595126888,79,-33.59,26.89,58.48,9.42
7,auki,56,SB,1595127017,61,-8.77,160.7,86.09,3.44
8,mataura,0,NZ,1595126922,52,-46.19,168.86,48.96,0.69
9,hilo,90,US,1595126578,74,19.73,-155.09,80.6,9.17
10,georgetown,20,MY,1595126663,88,5.41,100.34,86.0,4.7
11,rikitea,98,PF,1595126834,82,-23.12,-134.97,70.23,14.56
12,zhangjiakou,0,CN,1595127018,29,40.81,114.88,76.71,8.55
13,kapaa,90,US,1595126841,94,22.08,-159.32,82.0,9.17
14,bumba,97,CD,1595127018,93,2.18,22.47,69.8,1.92
15,bluff,1,NZ,1595126970,62,-46.6,168.33,46.98,4.43
16,arraial do cabo,0,BR,1595126875,77,-22.97,-42.03,69.58,16.06
17,west wendover,1,US,1595127018,12,40.74,-114.07,95.0,9.17
18,port-gentil,100,GA,1595126585,84,-0.72,8.78,73.96,10.65
19,tuktoyaktuk,90,CA,1595126911,87,69.45,-133.04,44.6,12.75
20,saint-philippe,90,RE,1595127006,68,-21.36,55.77,66.2,13.87
21,new norfolk,18,AU,1595127018,71,-42.78,147.06,57.99,1.99
22,kodiak,90,US,1595127018,68,57.79,-152.41,64.4,8.05
23,saskylakh,44,RU,1595127018,58,71.92,114.08,53.01,10.31
24,luganville,75,VU,1595127018,78,-15.53,167.17,78.8,6.93
25,karratha,0,AU,1595126148,52,-20.74,116.85,72.3,5.68
26,cape town,0,ZA,1595126833,100,-33.93,18.42,57.0,9.17
27,abilene,1,US,1595126828,38,32.45,-99.73,89.6,10.29
28,bo rai,20,TH,1595127019,66,12.57,102.54,86.0,4.7
29,mogadishu,93,SO,1595126929,79,2.04,45.34,76.84,20.78
30,east london,0,ZA,1595127010,66,-33.02,27.91,60.64,8.46
31,atuona,39,PF,1595126904,81,-9.8,-139.03,78.82,16.69
32,kautokeino,88,NO,1595127019,88,69.01,23.04,52.56,3.29
33,ribeira grande,12,PT,1595126666,77,38.52,-28.7,68.81,8.57
34,vilyuysk,98,RU,1595127019,49,63.76,121.62,71.2,5.08
35,raudeberg,80,NO,1595127019,76,61.99,5.14,55.4,17.22
36,albany,69,US,1595126728,66,42.6,-73.97,78.01,3.29
37,puerto ayora,82,EC,1595126854,92,-0.74,-90.35,70.0,4.0
38,benjamin aceval,0,PY,1595127019,47,-24.97,-57.57,77.0,8.05
39,norman wells,75,CA,1595127019,93,65.28,-126.83,62.6,5.7
40,punta arenas,99,CL,1595126940,74,-53.15,-70.92,35.6,17.22
41,sal rei,75,CV,1595127019,78,16.18,-22.92,77.0,6.93
42,namwala,0,ZM,1595127019,89,-15.75,26.44,42.78,2.84
43,oranjestad,20,AW,1595127019,78,12.52,-70.03,82.4,21.92
44,bredasdorp,60,ZA,1595127002,93,-34.53,20.04,50.0,2.19
45,busselton,100,AU,1595126639,87,-33.65,115.33,55.99,2.35
46,avarua,79,CK,1595126648,78,-21.21,-159.78,73.4,14.99
47,hami,99,CN,1595127020,10,42.8,93.45,93.74,5.28
48,olinda,40,BR,1595126737,78,-8.01,-34.86,77.0,11.41
49,pochutla,39,MX,1595127020,75,15.74,-96.47,82.0,2.57
50,kattivakkam,90,IN,1595127020,94,13.22,80.32,82.4,3.36
51,methoni,0,GR,1595127020,68,36.82,21.7,75.99,8.05
52,hof,9,DE,1595127020,82,50.32,11.92,55.0,1.01
53,port elizabeth,0,ZA,1595127020,87,-33.92,25.57,55.4,5.82
54,chumikan,100,RU,1595126948,90,54.72,135.31,55.89,9.1
55,panguna,49,PG,1595127020,77,-6.32,155.48,78.4,1.66
56,thompson,40,CA,1595127020,49,55.74,-97.86,69.8,4.7
57,yakeshi,99,CN,1595127020,79,49.28,120.73,62.19,6.98
58,lebanon,75,US,1595126968,78,36.21,-86.29,82.0,5.82
59,xichang,99,CN,1595126523,74,27.9,102.26,72.18,1.63
60,vaini,75,TO,1595126882,78,-21.2,-175.2,80.6,14.99
61,faanui,66,PF,1595126905,84,-16.48,-151.75,75.07,23.24
62,durango,80,MX,1595126790,50,24.83,-104.83,70.65,6.31
63,matara,95,LK,1595127021,75,5.95,80.54,83.34,11.43
64,carnarvon,0,AU,1595127021,55,-24.87,113.63,60.8,17.22
65,ancud,75,CL,1595127021,100,-41.87,-73.82,51.01,9.17
66,augustow,12,PL,1595127021,89,53.84,22.98,57.96,2.68
67,tornio,90,FI,1595127021,88,65.85,24.15,62.6,10.29
68,mujiayingzi,11,CN,1595127021,31,42.12,118.78,76.64,10.6
69,tiksi,100,RU,1595126586,96,71.69,128.87,52.41,7.74
70,mar del plata,90,AR,1595126892,100,-38.0,-57.56,51.01,1.9
71,bonthe,99,SL,1595127021,85,7.53,-12.51,75.88,5.14
72,jamestown,1,US,1595126594,83,42.1,-79.24,72.0,4.7
73,warwick,20,US,1595127017,83,41.7,-71.42,78.01,6.93
74,barrow,75,US,1595127021,74,71.29,-156.79,37.4,14.99
75,maniitsoq,74,GL,1595127021,75,65.42,-52.9,50.07,10.31
76,ukiah,1,US,1595127021,26,39.15,-123.21,93.2,5.82
77,luderitz,0,NA,1595126825,29,-26.65,15.16,62.6,1.12
78,boyolangu,33,ID,1595127021,70,-8.12,111.89,81.54,6.55
79,vardo,95,NO,1595126572,87,70.37,31.11,50.95,5.3
80,ergani,0,TR,1595127022,42,38.27,39.76,68.0,5.82
81,vestmannaeyjar,46,IS,1595126593,74,63.44,-20.27,48.81,23.17
82,vila velha,75,BR,1595127022,93,-20.33,-40.29,66.99,2.24
83,manbij,0,SY,1595127022,72,36.53,37.95,66.2,8.52
84,nemuro,75,JP,1595127022,77,43.32,145.57,68.0,8.05
85,port augusta,75,AU,1595126784,67,-32.5,137.77,62.6,18.34
86,chokurdakh,0,RU,1595127022,33,70.63,147.92,66.16,14.05
87,vaitape,67,PF,1595127022,82,-16.52,-151.75,75.83,23.2
88,leningradskiy,13,RU,1595126430,73,69.38,178.42,41.81,10.65
89,kaitangata,0,NZ,1595126850,61,-46.28,169.85,48.99,5.01
90,guerrero negro,0,MX,1595126766,80,27.98,-114.06,69.1,15.7
91,cidreira,23,BR,1595127022,86,-30.18,-50.21,64.76,7.0
92,hirara,75,JP,1595126793,83,24.8,125.28,84.2,9.17
93,ojinaga,1,MX,1595127022,30,29.57,-104.42,93.2,9.17
94,nikolskoye,100,RU,1595126932,77,59.7,30.79,63.0,4.47
95,tautira,40,PF,1595127022,69,-17.73,-149.15,80.6,9.17
96,vodnyy,0,RU,1595127022,75,63.5,53.41,62.53,4.5
97,huarmey,22,PE,1595127022,84,-10.07,-78.15,59.94,7.09
98,ankazoabo,0,MG,1595127022,82,-22.28,44.52,52.56,4.88
99,lebu,99,CL,1595126853,86,-37.62,-73.65,53.38,16.93
100,ibra,2,OM,1595127023,60,22.69,58.53,85.95,7.87
101,yellowknife,40,CA,1595126588,43,62.46,-114.35,73.99,10.29
102,bengkulu,93,ID,1595126946,64,-3.8,102.27,84.54,0.16
103,mvuma,0,ZW,1595127023,92,-19.28,30.53,41.81,6.04
104,verkhnyaya inta,100,RU,1595127023,85,65.98,60.31,53.73,12.06
105,batagay-alyta,100,RU,1595127023,68,67.8,130.41,66.67,3.76
106,vallenar,99,CL,1595127023,64,-28.57,-70.76,56.71,1.36
107,bethel,1,US,1595126943,83,41.37,-73.41,73.99,3.29
108,cherskiy,0,RU,1595127023,48,68.75,161.3,71.22,8.16
109,booue,80,GA,1595127023,95,-0.09,11.94,70.45,3.13
110,novobeysugskaya,48,RU,1595127024,76,45.47,39.89,68.5,9.17
111,upernavik,0,GL,1595127024,57,72.79,-56.15,47.03,4.83
112,bilibino,47,RU,1595127024,40,68.05,166.44,71.89,11.41
113,hofn,32,IS,1595127024,64,64.25,-15.21,51.4,9.15
114,inhambane,14,MZ,1595126567,76,-23.86,35.38,63.03,3.4
115,jaque,100,PA,1595127024,82,7.52,-78.17,80.08,3.6
116,plettenberg bay,4,ZA,1595127024,71,-34.05,23.37,55.35,2.04
117,lugovoy,51,KZ,1595127024,19,42.95,72.76,90.25,2.98
118,canoa,75,DO,1595127024,75,18.36,-71.16,78.53,2.77
119,camana,64,PE,1595127024,77,-16.62,-72.71,59.23,7.74
120,sinnamary,100,GF,1595127024,84,5.38,-52.95,78.01,8.08
121,odienne,78,CI,1595127024,94,9.51,-7.57,66.0,2.46
122,moindou,40,NC,1595127024,60,-21.69,165.68,73.4,9.17
123,victoria,40,HK,1595126876,59,22.29,114.16,91.4,17.22
124,kurumkan,77,RU,1595127025,53,54.3,110.3,63.01,4.74
125,hasaki,75,JP,1595127025,83,35.73,140.83,81.0,5.82
126,leopold,75,AU,1595127025,58,-38.18,144.47,59.0,19.46
127,bubaque,100,GW,1595127025,94,11.28,-15.83,76.24,14.18
128,geraldton,90,AU,1595127025,82,-28.77,114.6,60.8,6.93
129,camacha,40,PT,1595127025,83,33.08,-16.33,69.8,10.29
130,itaueira,28,BR,1595127025,55,-7.6,-43.03,75.06,10.33
131,codrington,66,AU,1595126254,73,-38.27,141.97,54.52,21.94
132,sitka,90,US,1595126931,93,57.05,-135.33,57.2,10.29
133,korla,100,CN,1595127025,84,41.76,86.15,81.0,14.18
134,carlsbad,1,US,1595127025,83,33.16,-117.35,72.0,8.05
135,guiratinga,0,BR,1595127025,47,-16.35,-53.76,67.89,3.51
136,grande prairie,75,CA,1595126834,59,55.17,-118.8,64.4,20.8
137,fortuna,1,US,1595126691,82,40.6,-124.16,62.01,6.93
138,lagoa,1,PT,1595127026,79,39.05,-27.98,68.25,11.63
139,mahebourg,40,MU,1595126977,72,-20.41,57.7,68.0,13.87
140,senneterre,90,CA,1595127026,93,48.38,-77.23,66.2,9.17
141,butaritari,31,KI,1595126897,76,3.07,172.79,83.01,14.7
142,ahuimanu,40,US,1595127026,66,21.44,-157.84,87.8,13.87
143,praia da vitoria,75,PT,1595127026,77,38.73,-27.07,69.8,9.13
144,lompoc,0,US,1595126852,72,34.64,-120.46,64.99,13.87
145,severo-kurilsk,66,RU,1595127026,82,50.68,156.12,53.33,14.07
146,los llanos de aridane,52,ES,1595127026,57,28.66,-17.92,75.2,5.82
147,teya,2,RU,1595127026,45,60.38,92.63,64.4,5.75
148,ust-maya,100,RU,1595127026,86,60.42,134.53,72.95,1.95
149,majene,67,ID,1595127026,68,-3.54,118.97,84.07,7.29
150,san cristobal,84,VE,1595126558,91,7.77,-72.22,65.55,3.15
151,atar,0,MR,1595127027,28,20.52,-13.05,90.46,5.61
152,bantou,62,CN,1595127027,50,26.22,117.49,92.68,7.76
153,pechenga,75,RU,1595127027,93,69.53,31.17,51.8,11.41
154,hobart,40,AU,1595126981,44,-42.88,147.33,59.0,6.93
155,bogatyye saby,100,RU,1595127027,90,56.01,50.45,63.05,7.54
156,colac,66,AU,1595127027,79,-38.33,143.58,52.0,5.01
157,san quintin,0,MX,1595127027,78,30.48,-115.95,68.85,15.17
158,sur,77,OM,1595127027,80,22.57,59.53,85.39,12.15
159,cabo san lucas,5,MX,1595127027,39,22.89,-109.91,84.2,10.29
160,dikson,100,RU,1595126993,94,73.51,80.55,39.76,7.05
161,nyurba,64,RU,1595127027,49,63.28,118.33,68.77,6.55
162,gua musang,8,MY,1595127028,59,4.88,101.96,88.5,0.81
163,hamilton,1,US,1595126926,78,39.18,-84.53,84.0,4.7
164,qaanaaq,98,GL,1595126883,75,77.48,-69.36,46.42,0.38
165,khatanga,100,RU,1595126590,72,71.97,102.5,49.86,5.08
166,clyde river,90,CA,1595127028,87,70.47,-68.59,42.8,11.41
167,bodden town,84,KY,1595127028,78,19.28,-81.25,84.0,5.99
168,oregon,0,US,1595127028,21,44.0,-120.5,82.0,11.01
169,esperance,40,AU,1595127028,100,-33.87,121.9,51.8,6.93
170,matagami,90,CA,1595127028,68,49.75,-77.63,71.6,4.7
171,pangnirtung,24,CA,1595127028,69,66.15,-65.71,53.11,0.56
172,mao,0,ES,1595127029,94,39.89,4.27,68.0,4.7
173,tasiilaq,75,GL,1595126893,81,65.61,-37.64,44.6,6.93
174,vila do maio,40,CV,1595127029,78,15.13,-23.22,75.2,4.7
175,lokomotivnyy,87,RU,1595127029,79,53.01,60.57,73.42,8.1
176,castro,0,BR,1595126814,92,-24.79,-50.01,56.75,3.44
177,souillac,40,MU,1595127029,72,-20.52,57.52,68.0,13.87
178,college,75,US,1595126540,68,64.86,-147.8,68.0,8.05
179,nouadhibou,90,MR,1595127029,88,20.93,-17.03,71.6,16.11
180,kedrovoye,47,RU,1595127029,78,57.16,60.57,71.6,2.24
181,ust-ishim,16,RU,1595127029,65,57.69,71.17,80.28,4.05
182,iralaya,0,HN,1595127029,84,15.0,-83.23,80.56,9.37
183,yumen,97,CN,1595127029,14,40.28,97.2,84.04,8.72
184,rancho mirage,1,US,1595127029,16,33.74,-116.41,107.6,12.75
185,port moresby,40,PG,1595127030,74,-9.44,147.18,82.4,11.41
186,lasa,5,IT,1595127030,81,46.62,10.7,51.8,4.7
187,xuddur,90,SO,1595127030,74,4.12,43.89,70.66,22.44
188,shaunavon,21,CA,1595127030,62,49.65,-108.42,61.23,9.01
189,tombouctou,84,ML,1595127030,52,20.0,-3.0,85.71,21.72
190,dukat,82,RU,1595127030,60,62.55,155.55,57.83,15.55
191,lavrentiya,91,RU,1595127030,69,65.58,-171.0,50.02,5.97
192,ilebo,48,CD,1595127030,56,-4.32,20.58,66.07,1.59
193,urucui,19,BR,1595127030,47,-7.23,-44.56,78.3,7.94
194,wanaka,0,NZ,1595126433,81,-44.7,169.15,39.99,1.9
195,port hardy,90,CA,1595126811,93,50.7,-127.42,59.0,4.7
196,naryan-mar,1,RU,1595127030,75,67.67,53.09,54.14,7.7
197,erzurum,0,TR,1595127030,76,40.0,41.5,51.8,1.12
198,union,75,US,1595127031,65,40.63,-74.27,82.99,8.05
199,mabaruma,70,GY,1595127031,95,8.2,-59.78,75.02,2.71
200,torrington,62,US,1595127031,79,41.8,-73.12,73.0,2.86
201,coruripe,13,BR,1595127031,85,-10.13,-36.18,73.69,11.81
202,pacific grove,1,US,1595126820,68,36.62,-121.92,68.0,10.29
203,djenne,86,ML,1595127031,68,13.91,-4.55,82.49,5.17
204,pevek,1,RU,1595127019,62,69.7,170.31,47.44,5.08
205,half moon bay,90,US,1595127031,82,37.46,-122.43,73.4,4.85
206,bolshoye selo,3,RU,1595127031,91,57.72,38.93,56.14,3.98
207,natal,20,BR,1595126481,88,-5.79,-35.21,71.6,20.8
208,kavieng,90,PG,1595127031,76,-2.57,150.8,82.65,7.56
209,iqaluit,75,CA,1595126234,93,63.75,-68.51,46.4,3.36
210,lae,65,PG,1595127031,70,-6.72,146.98,83.35,1.03
211,vadso,75,NO,1595127031,93,70.07,29.75,51.8,11.41
212,kalmunai,89,LK,1595127031,63,7.42,81.82,85.73,5.28
213,klyuchi,100,RU,1595127032,61,52.27,79.17,68.59,13.2
214,ranau,20,MY,1595127032,79,5.95,116.66,87.8,5.82
215,ponta delgada,40,PT,1595126743,68,37.73,-25.67,68.0,5.82
216,bathsheba,75,BB,1595127032,78,13.22,-59.52,82.4,13.87
217,talnakh,69,RU,1595127032,76,69.49,88.4,55.4,6.71
218,mangai,88,CD,1595127032,57,-4.05,19.53,66.79,1.59
219,portland,0,US,1595126908,46,45.52,-122.68,81.0,3.0
220,gravdal,73,NO,1595127032,86,68.12,13.5,55.58,20.94
221,lagunas,5,PE,1595127032,82,-5.23,-75.68,73.78,2.26
222,gamba,2,GA,1595127032,93,-2.65,10.0,69.21,1.41
223,saldanha,0,ZA,1595126994,81,-33.01,17.94,48.2,2.24
224,ilulissat,100,GL,1595127032,61,69.22,-51.1,46.4,4.7
225,carutapera,19,BR,1595127032,92,-1.2,-46.02,73.11,4.29
226,hendaye,0,FR,1595127032,88,43.37,-1.77,64.4,4.7
227,mehamn,47,NO,1595127033,71,71.04,27.85,53.6,2.24
228,talaya,16,RU,1595127033,44,61.38,152.75,64.87,14.58
229,usakos,0,NA,1595127033,44,-22.0,15.6,50.54,13.24
230,kardla,51,EE,1595127033,73,59.0,22.75,59.47,5.21
231,santiago,75,CL,1595126837,93,-33.46,-70.65,51.8,3.36
232,opuwo,0,NA,1595127033,46,-18.06,13.84,49.77,12.1
233,winton,1,US,1595127033,30,37.39,-120.61,95.0,10.29
234,hithadhoo,100,MV,1595126670,80,-0.6,73.08,82.29,13.2
235,aqtobe,0,KZ,1595126943,30,50.28,57.21,82.4,4.47
236,provideniya,4,RU,1595126870,63,64.38,-173.3,49.93,5.32
237,harnai,0,PK,1595127033,46,30.1,67.94,88.92,4.56
238,gizo,100,SB,1595127033,75,-8.1,156.84,82.51,8.25
239,bambous virieux,40,MU,1595127034,72,-20.34,57.76,68.0,13.87
240,qurayyat,0,SA,1595127034,56,31.33,37.34,73.4,20.8
241,haines junction,15,CA,1595127034,48,60.75,-137.51,65.1,7.74
242,itumba,24,TZ,1595127034,91,-9.4,33.18,49.66,5.64
243,naze,75,JP,1595126762,89,28.37,129.48,86.0,18.34
244,tay ninh,40,VN,1595127034,67,11.3,106.1,86.49,4.45
245,padang,20,ID,1595127034,74,-0.95,100.35,84.2,3.36
246,catalina foothills,90,US,1595127034,17,32.3,-110.92,99.0,5.82
247,tabuk,66,PH,1595127034,60,17.42,121.44,87.33,5.46
248,iquitos,29,PE,1595127034,96,-3.75,-73.25,72.05,1.68
249,nanortalik,48,GL,1595127034,79,60.14,-45.24,46.63,3.74
250,harper,4,LR,1595127034,89,4.38,-7.72,74.88,6.31
251,el fuerte,85,MX,1595127034,56,26.42,-108.62,88.95,4.32
252,kongwa,32,TZ,1595127035,74,-6.2,36.42,57.16,5.12
253,alice springs,90,AU,1595126643,18,-23.7,133.88,68.0,8.05
254,palmares do sul,32,BR,1595127035,89,-30.26,-50.51,64.6,3.22
255,ati,98,TD,1595127035,57,13.22,18.34,82.4,9.4
256,lichinga,0,MZ,1595127035,94,-13.31,35.24,48.33,9.75
257,acapulco,40,MX,1595126970,83,16.86,-99.89,84.2,8.05
258,kysyl-syr,100,RU,1595127035,48,63.9,122.76,71.83,5.28
259,nokaneng,0,BW,1595127035,57,-19.67,22.27,46.08,6.53
260,mwene-ditu,0,CD,1595127035,60,-7.0,23.45,55.47,7.94
261,saint george,1,US,1595126938,8,37.1,-113.58,102.2,12.75
262,chunhuhub,27,MX,1595126580,93,19.55,-88.68,75.52,3.33
263,shingu,75,JP,1595127035,74,33.73,135.98,80.6,4.7
264,puerto baquerizo moreno,55,EC,1595126961,93,-0.9,-89.6,68.38,14.94
265,dong xoai,35,VN,1595127035,68,11.53,106.92,85.95,3.2
266,cache creek,90,CA,1595127036,68,50.81,-121.32,86.0,3.36
267,beringovskiy,98,RU,1595127036,93,63.05,179.32,47.97,9.13
268,ponta do sol,20,PT,1595127036,68,32.67,-17.1,71.6,6.93
269,storm lake,1,US,1595127036,94,42.64,-95.21,84.2,9.17
270,taltal,8,CL,1595127036,73,-25.4,-70.48,54.86,3.49
271,oulainen,17,FI,1595127036,92,64.27,24.8,57.0,7.18
272,gacko,75,BA,1595127036,87,43.17,18.54,60.8,3.36
273,cornesti,99,RO,1595127036,93,44.78,25.87,64.4,3.36
274,menongue,0,AO,1595127036,72,-14.66,17.69,39.88,3.76
275,westport,1,US,1595127037,78,41.14,-73.36,78.8,5.82
276,jumla,85,NP,1595127037,71,29.27,82.18,66.31,3.49
277,moron,90,AR,1595126835,100,-34.65,-58.62,59.0,5.82
278,la ronge,75,CA,1595127037,88,55.1,-105.28,62.6,5.82
279,el molino,99,CO,1595127037,81,10.65,-72.92,75.54,4.21
280,sola,90,VU,1595127037,94,-13.88,167.55,80.6,4.97
281,airai,0,TL,1595127037,33,-8.93,125.41,74.26,3.51
282,dunedin,0,NZ,1595127037,68,-45.87,170.5,55.0,3.0
283,tabory,23,RU,1595127037,76,58.52,64.55,74.05,4.52
284,jining,94,CN,1595127024,63,35.41,116.58,80.55,10.54
285,vuktyl,0,RU,1595127037,80,63.86,57.31,61.65,5.93
286,cabra,2,ES,1595127037,57,37.47,-4.44,80.01,4.7
287,dongsheng,0,CN,1595127037,26,39.82,109.98,74.01,5.28
288,xining,0,CN,1595127037,49,36.62,101.77,64.31,1.07
289,longjiang,84,CN,1595127038,54,47.33,123.18,77.7,16.67
